Y;X;osm_id;code;fclass;name;ref;oneway;maxspeed;layer;bridge;tunnel;xAtZero;yAtZero;xAtOne;yAtOne;vertex_pos;vertex_ind;vertex_par;vertex_p_1;distance;angle;xkord;ykord
60.1784588;24.8094398;4415843;5141;service;Kirkkopolku;;B;0;0;F;F;24.8094398;60.1784588;24.8106296;60.1787152;0;0;0;0;0;77.957424857;24.8094398;60.1784588
60.178606;24.8101298;4415843;5141;service;Kirkkopolku;;B;0;0;F;F;24.8094398;60.1784588;24.8106296;60.1787152;-1;1;0;1;0.0007055266;77.957424857;24.8101298;60.178606
60.178606;24.8101298;4415843;5141;service;Kirkkopolku;;B;0;0;F;F;24.8094398;60.1784588;24.8106296;60.1787152;0;0;0;0;0;78.580845244;24.8101298;60.178606
60.176806;24.8008331;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;-1;1;0;1;0.0006965907;82.5434145545;24.8008331;60.176806
60.176806;24.8008331;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;0;0;0;0;0;84.6478701076;24.8008331;60.176806
60.1768195;24.8009772;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;-1;1;0;1;0.000144731;84.6478701076;24.8009772;60.1768195
60.1768195;24.8009772;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;0;0;0;0;0;82.1436535069;24.8009772;60.1768195
60.1768636;24.8012968;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;-1;1;0;1;0.0003226282;82.1436535069;24.8012968;60.1768636
60.1768636;24.8012968;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;0;0;0;0;0;82.1425533597;24.8012968;60.1768636
60.1769607;24.8020004;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;-1;1;0;1;0.0007102685;82.1425533597;24.8020004;60.1769607
60.1769607;24.8020004;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;0;0;0;0;0;82.2607667121;24.8020004;60.1769607
60.1769741;24.802099;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;-1;1;0;1;9.9506381703e-05;82.2607667121;24.802099;60.1769741
60.1769741;24.802099;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;0;0;0;0;0;82.5910766365;24.802099;60.1769741
60.1769996;24.8022951;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;-1;1;0;1;0.000197751;82.5910766365;24.8022951;60.1769996
60.1769996;24.8022951;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;0;0;0;0;0;82.6735933396;24.8022951;60.1769996
60.1770374;24.8025891;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;-1;1;0;1;0.00029642;82.6735933396;24.8025891;60.1770374
60.1770374;24.8025891;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;0;0;0;0;0;82.8918411358;24.8025891;60.1770374
60.1770687;24.8028401;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;-1;1;0;1;0.000252944;82.8918411358;24.8028401;60.1770687
60.1770687;24.8028401;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;0;0;0;0;0;82.2694069895;24.8028401;60.1770687
60.1770938;24.803025;4571030;5122;residential;Kauppamiehentie;;B;30;0;F;F;24.7997448;60.1766634;24.803025;60.1770938;-1;1;0;1;0.0001865959;82.2694069895;24.803025;60.1770938
60.178635;24.803625;4620418;5152;cycleway;;;B;0;0;F;F;24.803625;60.178635;24.803658;60.1783305;0;0;0;0;0;154.0053074981;24.803625;60.178635
60.1784654;24.8037077;4620418;5152;cycleway;;;B;0;0;F;F;24.803625;60.178635;24.803658;60.1783305;-1;1;0;1;0.0001886888;154.0053074981;24.8037077;60.1784654
60.1784654;24.8037077;4620418;5152;cycleway;;;B;0;0;F;F;24.803625;60.178635;24.803658;60.1783305;0;0;0;0;0;204.0012809661;24.8037077;60.1784654
60.1783832;24.8036711;4620418;5152;cycleway;;;B;0;0;F;F;24.803625;60.178635;24.803658;60.1783305;-1;1;0;1;8.9979997779e-05;204.0012809661;24.8036711;60.1783832
60.1783832;24.8036711;4620418;5152;cycleway;;;B;0;0;F;F;24.803625;60.178635;24.803658;60.1783305;0;0;0;0;0;193.9594738236;24.8036711;60.1783832
60.1783305;24.803658;4620418;5152;cycleway;;;B;0;0;F;F;24.803625;60.178635;24.803658;60.1783305;-1;1;0;1;5.4303775189e-05;193.9594738236;24.803658;60.1783305
60.1753328;24.8018695;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;0;0;0;0;0;151.3268535081;24.8018695;60.1753328
60.1752752;24.801901;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;-1;1;0;1;6.5650666409e-05;151.3268535081;24.801901;60.1752752
60.1752752;24.801901;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;0;0;0;0;0;196.0908163484;24.801901;60.1752752
60.1752128;24.801883;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;-1;1;0;1;6.4944283818e-05;196.0908163484;24.801883;60.1752128
60.1752128;24.801883;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;0;0;0;0;0;246.7507321827;24.801883;60.1752128
60.1751835;24.8018148;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;-1;1;0;1;7.4227555529e-05;246.7507321827;24.8018148;60.1751835
60.1751835;24.8018148;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;0;0;0;0;0;261.6086352742;24.8018148;60.1751835
